Content.entity,Content.tag,Content.category,Content.subcategory
المسلمين,@Muslims,group,Peoples/Religious groups
المسلمون,@Muslims,group,Peoples/Religious groups
مسلمون,@Muslims,group,Peoples/Religious groups
للمشركين,@polytheists,group,Peoples/Religious groups
للمشركون,@polytheists,group,Peoples/Religious groups
بني,@descendentsTribe,group,Peoples/Religious groups
القبائل,@Tribe,group,Peoples/Religious groups
قبائل,@Tribe,group,Peoples/Religious groups
بنو,@descendentsTribe,group,Peoples/Religious groups
الروم,@Byzantines,group,Peoples/Religious groups
قومه,@TribePeople,group,Peoples/Religious groups
قوم,@TribePeople,group,Peoples/Religious groups
المجوس,@MagiansZorastrians,group,Peoples/Religious groups
دين المجوسية,@MagiansZorastrians,group,Peoples/Religious groups
الأنبياء,@Prophets,group,Peoples/Religious groups
الجن,@Jinn,group,Peoples/Religious groups
الملوك,@kings,group,Peoples/Religious groups
أهل الكتاب,@PeopleoftheBook,group,Peoples/Religious groups
الصابئين,@Sabians,group,Peoples/Religious groups
الحواريون,@DisciplesofJesus,group,Peoples/Religious groups
فرعون,@Pharoahs,group,Peoples/Religious groups
الفراعنة,@Pharoahs,group,Peoples/Religious groups
فرعونا,@Pharoahs,group,Peoples/Religious groups
لفرعون,@Pharoahs,group,Peoples/Religious groups
ملوك فارس,@KingsPersian,group,Peoples/Religious groups
ملوك العجم,@KingsPersian,group,Peoples/Religious groups
النبط,@Nabateans,group,Peoples/Religious groups
علماء الفرس,@PersianScholars,group,Peoples/Religious groups
القبط,@Copts,group,Peoples/Religious groups
قبطية,@Copts,group,Peoples/Religious groups
السودان,@TheBlacks,group,Peoples/Religious groups
فارس,@Persians,group,Peoples/Religious groups
الترك,@Turks,group,Peoples/Religious groups
يأجوج,@Gog,group,Peoples/Religious groups
ماجوج,@Magog,group,Peoples/Religious groups
الصقالبة,@Slavs,group,Peoples/Religious groups
الكنعانيون,@Canaanites,group,Peoples/Religious groups
الكنعانيين,@Canaanites,group,Peoples/Religious groups
الخزر,@Khazars,group,Peoples/Religious groups
النوبة,@Nubians,group,Peoples/Religious groups
فزان,@Fezzanites,group,Peoples/Religious groups
البربر,@Berbers,group,Peoples/Religious groups
الصين,@Chinese,group,Peoples/Religious groups
اليونانية,@Greeks,group,Peoples/Religious groups
الأتراك,@Turks,group,Peoples/Religious groups
الجبارين,@Giants,group,Peoples/Religious groups
صنهاجة,@Sinhaja,group,Peoples/Religious groups
كتامة,@Kutama,group,Peoples/Religious groups
يهوذا,@Judah,group,Peoples/Religious groups
ملوك الهند,@KingsofIndia,group,Peoples/Religious groups
لليونانية,@Greeks,group,Peoples/Religious groups
اليونانيين,@Greeks,group,Peoples/Religious groups
الأشغانون,@Arsacids,group,Peoples/Religious groups
ملوك الطوائف,@RegionalPrincesPersian,group,Peoples/Religious groups
النسب,@genealogy,entity,misc
نسب,@genealogy,entity,misc
عمر,@age,entity,misc
أصل,@origins,entity,misc
أول,@first,entity,misc
شعر,@poetry,entity,misc
الشعر,@poetry,entity,misc
القرآن,@Quran,object,misc
أصنام,@Idols,object,misc
صنم,@Idols,object,misc
هبل,@HubalIdol,object,misc
اللات,@AlatGod,entity,misc
مناة,@ManatGod,entity,misc
الإنجيل,@Gospels,object,misc
الصلاة,@Prayer,entity,misc
تفسير ابن هشام,@TafsirIbnHisham,entity,misc
القبلة,@Qibla,entity,misc
عدد,@Quantity,entity,misc
عدة,@Quantity,entity,misc
تاريخ,@Dating,entity,misc
وقتها,@Dating,entity,misc
الأصنام,@idols,object,misc
أصنامها,@idols,object,misc
رثاء,@PoetryLament,entity,misc
نسبه,@genealogy,entity,misc
تفسير,@Tafsir,entity,misc
شعره,@Poetry,entity,misc
خطبه,@Khutba,entity,misc
خطب,@Khutba,entity,misc
يومها,@Dating,entity,misc
عددهم,@Quantity,entity,misc
تاريخها,@Dating,entity,misc
تحريض,@provocation,entity,misc
أموال,@spoils,object,misc
الفيء,@spoils,object,misc
القول,@sayings,entity,misc
الدلالة,@Proofs,entity,misc
المكروه,@Evil,entity,misc
النور,@Light,entity,misc
نورا,@Light,entity,misc
الآية,@Aya,entity,misc
كما قال ربنا,@QuranQuote,entity,misc
كما قال عز وجل,@QuranQuote,entity,misc
قول الله,@QuranQuote,entity,misc
الظلمة,@Darkness,entity,misc
الريح,@Wind,entity,misc
الملائكة,@Angels,entity,misc
عمر  آدم,@AdamsAge,entity,misc
الكفر,@Unbelief,entity,misc
كفر,@Unbelief,entity,misc
الطيب,@Perfume,object,object
خبز,@Bread,object,object
الحديد,@Iron,object,object
الحرث,@plough,object,object
السندان,@Anvils,object,object
الكلبتان,@Tongs,object,object
الميقعة,@Mallets,object,object
المطرقة,@Hammers,object,object
الحجر الأسود,@BlackStone,object,object
التوراة,@Torah,object,object
السفينة,@Ark,object,object
كلمات,@Commandments,object,object
الألواح,@Tablets10Commandments,object,object
التابوت,@ArkoftheCovenant,object,object
الشمس,@Sun,object,nature
القمر,@Moon,object,nature
التربة,@Soil,object,nature
الجبال,@Mountains,object,nature
الشجر,@Trees,object,nature
شجرها,@Trees,object,nature
الدواب,@AnimalsBeastsofBurden,object,nature
الماء,@Water,object,nature
القلم,@Pen,object,nature
سحابا,@Clouds,object,nature
عرش,@Throne,object,nature
عرشه,@Throne,object,nature
العرش,@Throne,object,nature
البحار,@Oceans,object,nature
أقوات,@Food,object,nature
النجوم,@Stars,object,nature
الأنهار,@Rivers,object,nature
الحية,@Serpent,object,nature
الثمار,@Fruit,object,nature
الحنطة,@Wheat,object,nature
ورق التين,@FigLeaf,object,nature
ثور,@Ox,object,nature
البهائم,@AnimalsDumb,object,nature
الوحش,@AnimalsWild,object,nature
الطير,@Birds,object,nature
الأراك,@ThornBush,object,nature
الهدهد,@Hoopoe,object,nature
الفيل,@theElephant,event,major event
الهجرة الأولى,@MigrationAbyssinia,event,major event
الحج,@Hajj,event,major event
الحمس,@Hums,event,major event
الصحيفة,@Boycott,event,major event
المعراج,@MiCraj,event,major event
الأذان,@CallToPrayer,event,major event
بدر الكبرى,@BadrBattle,event,major event
يوم بدر,@BadrBattle,event,major event
غزوة أحد,@UhudBattle,event,major event
يوم أحد,@UhudBattle,event,major event
غزوة الخندق,@TrenchBattle,event,major event
يوم الخندق,@TrenchBattle,event,major event
الحديبية,@HudaybiyyaTreaty,event,major event
يوم خيبر,@KhaybarExpedition,event,major event
المسير إلى خيبر,@KhaybarExpedition,event,major event
غزوة مؤتة,@MutaRaid,event,major event
فتح مكة,@MeccaSiege,event,major event
غزوة الطائف,@TaifRaid,event,major event
يوم الطائف,@TaifRaid,event,major event
غزوة تبوك,@TabukRaid,event,major event
سقيفة,@Saqifa,event,major event
للصحيفة,@Boycott,event,major event
يوم بني قريظة,@BanuQurayzaRaid,event,major event
أمر الخندق,@TrenchBattle,event,major event
أمر خيبر,@KhaybarExpedition,event,major event
فتح خيبر,@KhaybarExpedition,event,major event
عمرة القضاء,@FulfilledPilgrimage,event,major event
يوم الفتح,@MeccaSiege,event,major event
غزوة حنين,@HunaynBattle,event,major event
يوم حنين,@HunaynBattle,event,major event
حنين,@HunaynBattle,event,major event
سنة الوفود,@YearofDeputations,event,major event
حجة الوداع,@FarewellPilgrimage,event,major event
السقيفة,@Saqifa,event,major event
خلق,@Creation,event,major event
خلقهما,@Creation,event,major event
الخلق,@Creation,event,major event
يوم القيامة,@DayResurrection,event,major event
قيام الساعة,@DayResurrection,event,major event
أول ما خلق,@FirstCreation,event,major event
خلق يوما,@CreationDays,event,major event
خلق الأيام,@CreationDays,event,major event
ابتداء الخلق,@BeginningCreation,event,major event
علم الله عز وجل آدم الأسماء,@GodTeachesAdamNames,event,major event
علم الله تعالى آدم الأسماء,@GodTeachesAdamNames,event,major event
امتحان الله تعالى أبانا آدم,@GodTestsAdam,event,major event
أهبط آدم,@FallAdam,event,major event
أهبط إلى الأرض,@FallAdam,event,major event
أخرج آدم من الجنة,@FallAdam,event,major event
خرج من الجنة,@FallAdam,event,major event
أهبط من الجنة,@FallAdam,event,major event
الطوفان,@TheFlood,event,major event
ذبح إسحاق,@SacrificeofIsaac,event,major event
بذبح ابنه,@SacrificeofIsaac,event,major event
أمر بذبحه,@SacrificeofIsaac,event,major event
حفر زمزم,@DiggingZamzam,event,major event
امتحن الله,@GodTest,event,major event
كلم من الشجرة,@BurningBush,event,major event
بناء المسجد,@BuildingtheTemple,event,major event
خرب المدينة والهيكل,@DestructionoftheTempleJerusalem,event,major event
تخريبه بيت المقدس,@DestructionoftheTempleJerusalem,event,major event
هدم البيت,@DestructionoftheTempleJerusalem,event,major event
خرب بيت المقدس,@DestructionoftheTempleJerusalem,event,major event
إخراب المسجد,@DestructionoftheTempleJerusalem,event,major event
سبى بني إسرائيل,@CaptivityofChildrenofIsrael,event,major event
سبايا بني إسرائيل,@CaptivityofChildrenofIsrael,event,major event
مقتل,@killed,event,other events
قتل,@killed,event,other events
استشهد,@martyred,event,other events
استشهاد,@martyred,event,other events
موت,@death,event,other events
وفاة,@death,event,other events
ابتداء,@beginning,event,other events
المستولي,@occupation,event,other events
مستولي,@occupation,event,other events
استيلاء,@occupation,event,other events
افتتاح,@occupation,event,other events
هجرة,@migration,event,other events
الهجرة,@migration,event,other events
هجرته,@migration,event,other events
غزو,@raid,event,other events
غزوة,@raid,event,other events
الغزوات,@raid,event,other events
سرية,@expedition,event,other events
قتال,@fighting,event,other events
القتال,@fighting,event,other events
دفن,@Burial,event,other events
ولادة,@Birth,event,other events
تزويج,@Marriage,event,other events
زواج,@Marriage,event,other events
إسلام,@ConversiontoIslam,event,other events
أسلم,@ConversiontoIslam,event,other events
تنزيل القرآن,@RevelationQuran,event,other events
ما أنزل الله,@RevelationQuran,event,other events
ما أنزله الله,@RevelationQuran,event,other events
ما نزل فيه,@RevelationQuran,event,other events
نزول سورة,@RevelationQuran,event,other events
ما نزل فيهم,@RevelationQuran,event,other events
نزول آيات,@RevelationQuran,event,other events
نزول هذه الآية,@RevelationQuran,event,other events
ما نزل في,@RevelationQuran,event,other events
ما نزل فيمن,@RevelationQuran,event,other events
ما نزل من,@RevelationQuran,event,other events
نزول القرآن,@RevelationQuran,event,other events
نزول براءة,@RevelationQuran,event,other events
من شهد,@witnessing,event,other events
أسرى,@TakenPrisoner,event,other events
الهدنة,@Truce,event,other events
الصلح,@Truce,event,other events
أزواج,@Marriage,event,other events
شكوى,@Illness,event,other events
تمريض,@Illness,event,other events
المرض,@Illness,event,other events
قتله,@killed,event,other events
موته,@death,event,other events
قبره,@Burial,event,other events
ميلاد,@Birth,event,other events
نكاح,@Marriage,event,other events
تزوج,@Marriage,event,other events
تزوجه,@Marriage,event,other events
زواجه,@Marriage,event,other events
إسلامه,@ConversiontoIslam,event,other events
ما أنزله تعالى,@RevelationQuran,event,other events
نزول آية,@RevelationQuran,event,other events
مهاجرة,@migration,event,other events
إلى الإسلام,@ConversiontoIslam,event,other events
عهدا,@Agreement,event,other events
عهد,@Agreement,event,other events
العهد,@Agreement,event,other events
من شهدها,@witnessing,event,other events
مرض,@Illness,event,other events
السرية,@expedition,event,other events
سريته,@expedition,event,other events
شهود,@witnessing,event,other events
من حضر,@attending,event,other events
قتلى,@killed,event,other events
أمر,@AffairStory,event,other events
خبر,@AffairStory,event,other events
قصة,@AffairStory,event,other events
قتله,@killed,event,other events
الموت,@death,event,other events
مقتله,@killed,event,other events
هاجر,@migration,event,other events
للقتال,@fighting,event,other events
للصلح,@Truce,event,other events
من شهدوا,@witnessing,event,other events
بيعة,@homage,event,other events
البيعة,@homage,event,other events
شأن,@AffairStory,event,other events
استشهاده,@martyred,event,other events
مصالحة,@Truce,event,other events
يوم الفتح,@MeccaSiege,event,other events
حج,@Pilgrimage,event,other events
شأن,@AffairStory,event,other events
إسلامها,@ConversiontoIslam,event,other events
ما نزل بسبب,@RevelationQuran,event,other events
المغازي,@raid,event,other events
إسلامهم,@ConversiontoIslam,event,other events
وفد,@deputation,event,other events
الوفد,@deputation,event,other events
وفدهم,@deputation,event,other events
الغزوة,@raid,event,other events
غزوات,@raid,event,other events
الزواج,@Marriage,event,other events
السرية,@expedition,event,other events
الشكوى,@Illness,event,other events
بدء,@beginning,event,other events
تمريضه,@Illness,event,other events
دفنه,@Burial,event,other events
رمضان,@RamadanFast,event,other events
المغرب,@Sunset,event,other events
الأحداث,@Events,event,other events
وفاه,@Death,event,other events
أول من,@FirstToDo,event,other events
صام,@Fasting,event,other events
غزاة,@Raid,event,other events
الطواف,@CirculambulatingKaCba,event,other events
ازواج,@Marriage,event,other events
غزا,@Raid,event,other events
مغازي,@Raid,event,other events
غزوته,@Raid,event,other events
غزا,@Raid,event,other events
اليمن,@Yemen,place,place
العراق,@Iraq,place,place
يثرب,@Medina,place,place
المدينة,@Medina,place,place
البيت,@KaCba,place,place
الكعبة,@KaCba,place,place
الحبشة,@Abyssinia,place,place
مكة,@Mecca,place,place
الشام,@GreaterSyria,place,place
عمان,@Oman,place,place
زمزم,@Zamzam,place,place
الموصل,@Mosul,place,place
نصيبين,@Nisibis,place,place
عمورية,@Amorium,place,place
العقبة,@Caqaba,place,place
مسجد قباء,@QubaMosque,place,place
قباء,@QubaMosque,place,place
نجران,@Najran,place,place
ودان,@Waddan,place,place
بواط,@Buwat,place,place
العشيرة,@Ushayra,place,place
صفوان,@Safwan,place,place
بدر,@Badr,place,place
الكدر,@Kudr,place,place
القردة,@Qarada,place,place
 خيبر,@Khaybar,place,place
مؤتة,@Muta,place,place
الطائف,@Taif,place,place
تبوك,@Tabuk,place,place
فلسطين,@Palestine,place,place
سيف البحر,@Coast,place,place
مصر,@Egypt,place,place
الحضر,@Hatra,place,place
للكعبة,@KaCba,place,place
مسجد المدينة,@QubaMosque,place,place
مسجد,@Mosque,place,place
بدرا,@Badr,place,place
السماوات,@TheHeavens,place,place
السماء,@TheHeavens,place,place
الأرض,@TheEarth,place,place
المدائن,@Cities,place,place
المسجد الحرام,@KaCba,place,place
المسجد الأقصى,@AqsaMosque,place,place
الجنة,@HeavenParadise,place,place
الهند,@India,place,place
سرنديب,@Ceylon,place,place
بيت المقدس,@Jerusalem,place,place
بابل,@Babylon,place,place
سواد,@Sawad,place,place
الكوفة,@Kufa,place,place
السوس,@Susa,place,place
النيل,@Nile,place,place
الفرات,@Euphrates,place,place
دجلة,@Tigris,place,place
سيحان,@Sayhan,place,place
جيحان,@Jayhan,place,place
فيشون,@Fayshan,place,place
السند,@Sind,place,place
الصراة,@Sarat,place,place
الحجاز,@Hijaz,place,place
البحرين,@Bahrayn,place,place
تيماء,@Tayma,place,place
نجد,@Najd,place,place
اليمامة,@Yamama,place,place
حضرموت,@Hadramawt,place,place
صنعاء,@SanaCa,place,place
السوس,@Sus,place,place
الأهواز,@Ahwaz,place,place
حران,@Harran,place,place
السبع,@Beersheba,place,place
عرفات,@MountArafat,place,place
الصرح,@TowerofBabel,place,place
أرض الروم,@Byzantium,place,place
الأردن,@Jordan,place,place
سدوم,@Sodom,place,place
حبرون,@Hebron,place,place
خراسان,@Khurasan,place,place
لليمن,@Yemen,place,place
الحيرة,@Hira,place,place
الإسكندرية,@Alexandria,place,place
الري,@Rayy,place,place
الأنبار,@Anbar,place,place
أذربيجان,@Azerbaijan,place,place
البصرة,@Basra,place,place
طور سيناء,@MountSinai,place,place
أريحا,@Jericho,place,place
طبرستان,@Tabaristan,place,place
إفريقية,@Ifriqiya,place,place
البيت,@Temple,place,place
بلخ,@Ballkh,place,place
سجستان,@Sijistan,place,place
زابلستان,@Zabulistan,place,place
خوزستان,@Khuzistan,place,place
كرمان,@Kirman,place,place
ترشيش,@Tarshish,place,place
إيلياء,@Jerusalem,place,place
نينوى,@Nineva,place,place
الهيكل,@Temple,place,place
دمشق,@Damascus,place,place
التبت,@Tibet,place,place
أصبهان,@Isbahan,place,place
أنطاكية,@Antioch,place,place
القسطنطينية,@Constantinople,place,place
بيت لحم,@Bethlehem,place,place
صفر,@SafarMonth,time,month
سنة ثلاث,@Year3,time,year
سنة أربع,@Year4,time,year
شعبان,@ShaCbanMonth,time,month
ربيع الأول,@RabiCAwwalMonth,time,month
سنة خمس,@Year5,time,year
شوال,@ShawwalMonth,time,month
سنة ست,@Year6,time,year
المحرم ,@MuharramMonth,time,month
سنة سبع,@Year7,time,year
ذي القعدة,@DhuQaCdaMonth,time,month
ذو القعدة,@DhuQaCdaMonth,time,month
سنة ثمان,@Year8,time,year
جمادى الأولى,@JumadaAwwalMonth,time,month
رمضان,@RamadanMonth,time,month
رجب,@RajabMonth,time,month
سنة تسع,@Year9,time,year
ربيع الآخر,@RabiCAkharlMonth,time,month
ربيع الثاني,@RabiCAkharlMonth,time,month
جمادى الآخرة,@JumadaAkharMonth,time,month
جمادى الثانية,@JumadaAkharMonth,time,month
ذي الحجة,@DhuHijjaMonth,time,month
ذو الحجة,@DhuHijjaMonth,time,month
سنة ثماني,@Year8,time,year
الزمان,@time,time,time
الليل,@Night,time,time
النهار,@Day,time,day
يوم الأحد,@Sunday,time,day
يوم الاثنين,@Monday,time,day
يوم الثلاثاء,@Tuesday,time,day
يوم الأربعاء,@Wednesday,time,day
يوم الخميس,@Thursday,time,day
يوم الجمعة,@Friday,time,day
يوم السبت,@Saturday,time,day
الجاهلية,@Jahiliyya,time,period
نوروز,@Nawruz,time,festival
يوم عاشوراء,@Cashura,time,festival
عام الفيل,@YearoftheElephant,time,period
التاريخ,@Dating,time,time
