entity,tag,category,subcategory
أبي جندل,@AbuJandal,person,Other person
أبو جندل,@AbuJandal,person,Other person
عبد الله بن أمية,@AbdullahIbnUmayya,person,Other person
مسيلمة,@Musaylima,person,Other person
هاجر,@Hajar,person,Other person
خندف,@Khindif,person,Other person
قصي بن كلاب,@QusayyIbnKilab,person,Other person
قصي,@QusayyIbnKilab,person,Other person
عبد الله,@CabdAllahIbnMutallib,person,Other person
عبد الله بن عبد المطلب,@CabdAllahIbnMutallib,person,Other person
أبا طالب,@AbuTalib,person,Other person
أبا بكر,@AbuBakr,person,Other person
عتبة,@CutbaIbnRabiCa,person,Other person
أبا جهل,@AbuJahl,person,Other person
ملوك الروم,@EmperorRome,person,Other person
للعباس,@CabbasIbnCabdMutallib,person,Other person
عمرو,@CamrIbnCas,person,Other person
خالد,@KhalidIbnWalid,person,Other person
سودة,@SawdaWife,person,Other person
زينب بنت جحش,@ZaynadBintJahshWife,person,Other person
أم سلمة,@UmSalamaWife,person,Other person
حفصة,@HafsaWife,person,Other person
أم حبيبة,@UmHabibaWife,person,Other person
جويرية,@JuwayriyaWife,person,Other person
صفية,@SafiyyaWife,person,Other person
ميمونة,@MaymunaWife,person,Other person
زينب بنت خزيمة,@ZaynadBintKhuzaymaWife,person,Other person
العرب,@theArabs,group,Peoples/Religious groups
النصرانية,@Christianity,group,Peoples/Religious groups
حمير,@Himyar,group,Peoples/Religious groups
الفرس,@thePersians,group,Peoples/Religious groups
الأحباش,@theAbyssinians,group,Peoples/Religious groups
الكهان,@Soothsayers,group,Peoples/Religious groups
كاهن,@Soothsayers,group,Peoples/Religious groups
يهود,@Jews,group,Peoples/Religious groups
الرهبان,@Monks,group,Peoples/Religious groups
النصارى,@Christians,group,Peoples/Religious groups
الصحابة,@Companions,group,Peoples/Religious groups
أصحاب رسول الله,@Companions,group,Peoples/Religious groups
مسلمين,@Muslims,group,Peoples/Religious groups
الشهداء,@martyrs,group,Peoples/Religious groups
الأحبار,@Rabbis,group,Peoples/Religious groups
اليهود,@Jews,group,Peoples/Religious groups
اليهودي,@Jews,group,Peoples/Religious groups
أصحابه,@Companions,group,Peoples/Religious groups
المسلمين,@Muslims,group,Peoples/Religious groups
الكفار,@unbeliever,group,Peoples/Religious groups
المؤمنين,@Believers,group,Peoples/Religious groups
المؤمنين,@Believers,group,Peoples/Religious groups
الحبشة,@theAbyssinians,group,Peoples/Religious groups
أحبار,@Rabbis,group,Peoples/Religious groups
المؤمنين,@Believers,group,Peoples/Religious groups
المؤمنون,@Believers,group,Peoples/Religious groups
المسلمين,@Muslims,group,Peoples/Religious groups
المسلمون,@Muslims,group,Peoples/Religious groups
مسلمون,@Muslims,group,Peoples/Religious groups
للمشركين,@polytheists,group,Peoples/Religious groups
للمشركون,@polytheists,group,Peoples/Religious groups
بني,@descendentsTribe,group,Peoples/Religious groups
القبائل,@Tribe,group,Peoples/Religious groups
قبائل,@Tribe,group,Peoples/Religious groups
بنو,@descendentsTribe,group,Peoples/Religious groups
الروم,@Byzantines,group,Peoples/Religious groups
قومه,@TribePeople,group,Peoples/Religious groups
قوم,@TribePeople,group,Peoples/Religious groups
الفضول,@FudulConfederacy,event,major event
