Superheading Number,Superheading title ,Headings under superheading NEW,Heading UI NEW
11,, ذكر الخبر عما جرى بين المهاجرين والأنصار في أمر الإمارة في سقيفة بني ساعدة,4.6.4.0
11,, ذكر امر ابى بكر في أول خلافته,4.6.5.0
11,, بقية الخبر عن أمر الكذاب العنسي,4.6.6.0
11,, [حوادث متفرقة],4.6.7.0
11,, كتاب ابى بكر الى القبائل المرتدة ووصيته للامراء,4.6.8.0
11,, ذكر بقية الخبر عن غطفان حين انضمت ms1206 إلى طليحة وما آل إليه أمر طليحة,4.6.9.0
11,, ذكر ردة هوازن وسليم وعامر,4.6.10.0
11,, ذكر خبر بني تميم وأمر سجاح بنت الحارث بن سويد,4.6.11.0
11,, ذكر البطاح وخبره,4.6.12.0
11,, ذكر بقية خبر مسيلمة الكذاب وقومه من أهل اليمامة,4.6.13.0
11,, ذكر خبر أهل البحرين وردة الحطم ومن تجمع معه بالبحرين,4.6.14.0
11,, ذكر الخبر عن ردة أهل عمان ومهرة واليمن,4.6.15.0
11,, ذكر خبر مهرة بالنجد,4.6.16.0
11,, ذكر خبر المرتدين باليمن,4.6.17.0
11,, خبر الأخابث من عك,4.6.18.0
11,, ردة أهل اليمن ثانية,4.6.19.0
11,, ذكر خبر طاهر حين شخص مددا لفيروز,4.6.20.0
11,, ذكر خبر حضرموت في ردتهم,4.6.21.0
11,, ثم كانت سنة اثنتي عشرة من الهجرة,4.7.0.0
11,, مسير خالد الى العراق وصلح الحيرة,4.7.1.0
11,, ذكر وقعه المذار,4.7.2.0
11,, ذكر وقعه الولجة,4.7.3.0
11,," خبر أليس، وهي على صلب الفرات",4.7.4.0
11,, حديث أمغيشيا,4.7.5.0
11,, حديث يوم المقر وفم فرات بادقلى,4.7.6.0
11,, خبر ما بعد الحيرة,4.7.7.0
11,, حديث الأنبار- وهي ذات العيون- وذكر كلواذى,4.7.8.0
11,, خبر عين التمر,4.7.9.0
11,, خبر دومة الجندل,4.7.10.0
11,, خبر حصيد,4.7.11.0
11,, الخنافس,4.7.12.0
11,, مصيخ بني البرشاء,4.7.13.0
11,, الا سقيانى قبل خيل أبي بكر.,4.7.14.0
11,, سبحانك اللهم رب محمد.,4.7.15.0
11,, الثني والزميل,4.7.16.0
11,, حديث الفراض,4.7.17.0
11,, حجة خالد,4.7.18.0
11,, ثم دخلت سنة ثلاث عشرة,4.8.0.0
11,, ذكر الخبر عما كان فيها من الأحداث,4.8.1.0
11,, خبر اليرموك,4.8.2.0
11,, [ذكر وقعة أجنادين],4.8.3.0
11,, ذكر مرض ابى بكر ووفاته,4.8.4.0
11,, ذكر الخبر عمن غسله والكفن الذي كفن فيه ابو بكر ومن صلى عليه والوقت الذي صلي عليه فيه والوقت الذى توفى فيه,4.8.5.0
11,, ذكر الخبر عن صفة جسم أبي بكر رحمه الله,4.8.6.0
11,, ذكر نسب أبي بكر واسمه وما كان يعرف به,4.8.7.0
11,, ذكر أسماء نساء أبي بكر الصديق رحمه الله,4.8.8.0
11,, ذكر أسماء قضاته وكتابه وعماله على الصدقات,4.8.9.0
11,, [ذكر استخلافه عمر بن الخطاب],4.8.10.0
11,, [حال أبي بكر قبل الخلافة وبعدها],4.8.11.0
11,, ذكر غزوه فحل وفتح دمشق,4.8.12.0
11,, ذكر بيسان,4.8.13.0
11,, طبرية,4.8.14.0
11,, ذكر خبر المثنى بن حارثة وأبي عبيد بن مسعود,4.8.15.0
11,, خبر النمارق,4.8.16.0
11,, السقاطية بكسكر,4.8.17.0
11,, وقعة القرقس,4.8.18.0
11,, خبر أليس الصغرى,4.8.19.0
11,, البويب,4.8.20.0
11,, خبر الخنافس,4.8.21.0
11,, ذكر الخبر عما هيج أمر القادسية,4.8.22.0
11,, ثم دخلت سنة أربع عشره,4.9.0.0
11,, ذكر ابتداء امر القادسية,4.9.1.0
11,, يوم أرماث,4.9.2.0
11,, يوم أغواث,4.9.3.0
11,, يوم عماس,4.9.4.0
11,, ليلة القادسية,4.9.5.0
11,, ذكر أحوال أهل السواد,4.9.6.0
11,, ذكر بناء البصرة,4.9.7.0
11,, ثم دخلت سنة خمس عشرة,4.10.0.0
11,, ذكر الوقعة بمرج الروم,4.10.1.0
11,, ذكر فتح حمص,4.10.2.0
11,, حديث قنسرين,4.10.3.0
11,, ذكر خبر ارتحال هرقل إلى القسطنطينية,4.10.4.0
11,, ذكر فتح قيسارية وحصر غزة,4.10.5.0
11,, ذكر فتح بيسان ووقعة أجنادين,4.10.6.0
11,, ذكر فتح بيت المقدس,4.10.7.0
11,, ذكر فرض العطاء وعمل الديوان,4.10.8.0
11,, خبر يوم برس,4.10.9.0
11,, يوم بابل,4.10.10.0
11,, حديث بهرسير في ذي الحجة سنة خمس عشره في قول سيف,4.10.11.0
11,, الجزء الرابع,5.0.0.0
11,, سنة ست عشرة,5.1.0.0
11,, ذكر بقية خبر دخول المسلمين مدينة بهرسير,5.1.1.0
11,, حديث المدائن القصوى التي كان فيها منزل كسرى,5.1.2.0
11,, ذكر ما جمع من فيء أهل المدائن,5.1.3.0
11,, ذكر صفة قسم الفيء الذي أصيب بالمدائن بين أهله وكانوا- فيما زعم سيف- ستين ألفا,5.1.4.0
11,, ذكر الخبر عن وقعة جلولاء الوقيعة,5.1.5.0
11,, ذكر فتح تكريت,5.1.6.0
11,, ذكر فتح ماسبذان,5.1.7.0
11,, ذكر وقعه قرقيسياء,5.1.8.0
11,, سنة سبع عشرة,5.2.0.0
11,, ذكر سبب تحول من تحول من المسلمين من المدائن إلى الكوفة وسبب اختطاطهم الكوفة في رواية سيف,5.2.1.0
11,, إعادة تعريف الناس,5.2.2.0
11,, فتوح المدائن قبل الكوفة ms1556,5.2.3.0
11,, ذكر خبر حمص حين قصد من فيها من المسلمين صاحب الروم,5.2.4.0
11,, ذكر فتح الجزيرة,5.2.5.0
11,, خروج عمر بن الخطاب الى الشام,5.2.6.0
11,," ذكر الخبر عن سيف في ذلك، والخبر عما ذكره عن عمر في خرجته تلك أنه أحدث في مصالح المسلمين:",5.2.7.0
11,, ذكر خبر عزل خالد بن الوليد,5.2.8.0
11,, ذكر تجديد المسجد الحرام والتوسعه فيه,5.2.9.0
11,, ذكر خبر عزل المغيره عن البصره وولايه ابى موسى,5.2.10.0
11,, فتح سوق الاهواز ومناذر ونهر تيرى,5.2.11.0
11,, فتح تستر,5.2.12.0
11,, غزو المسلمين فارس من قبل البحرين,5.2.13.0
11,, ذكر فتح رامهرمز وتستر,5.2.14.0
11,, ذكر فتح السوس,5.2.15.0
11,, [ذكر مصالحه المسلمين اهل جندى سابور],5.2.16.0
11,, [أخبار متفرقة],5.2.17.0
11,, سنه ثمان عشرة,5.3.0.0
11,, ذكر الأحداث التي كانت في سنة ثمان عشرة,5.3.1.0
11,, ذكر القحط وعام الرمادة,5.3.2.0
11,, سنة تسع عشرة,5.4.0.0
11,, ذكر الأحداث التي كانت في سنة تسع عشرة,5.4.1.0
11,, عشرين,5.5.0.0
11,, ذكر الخبر عما كان فيها من مغازي المسلمين وغير ذلك من أمورهم,5.5.1.0
11,, ذكر الخبر ms1602 عن فتحها وفتح الإسكندرية,5.5.2.0
11,, [أخبار متفرقة],5.5.3.0
11,, إحدى وعشرين,5.6.0.0
11,, ذكر الخبر عن وقعة المسلمين والفرس بنهاوند,5.6.1.0
11,, ذكر الخبر عن إصبهان,5.6.2.0
11,, [أخبار متفرقة],5.6.3.0
11,, اثنتين وعشرين,5.7.0.0
11,, ذكر فتح همذان,5.7.1.0
11,, فتح الري,5.7.2.0
11,, فتح قومس,5.7.3.0
11,, فتح جرجان,5.7.4.0
11,, فتح طبرستان,5.7.5.0
11,, فتح أذربيجان,5.7.6.0
11,, فتح الباب,5.7.7.0
11,, ذكر تعديل الفتوح بين اهل الكوفه والبصره,5.7.8.0
11,, ذكر عزل عمار عن الكوفه,5.7.9.0
11,, ذكر مصير يزدجرد إلى خراسان وما كان السبب في ذلك,5.7.10.0
11,, ثلاث وعشرين,5.8.0.0
11,, ذكر الخبر عن فتح توج,5.8.1.0
11,, فتح إصطخر,5.8.2.0
11,, ذكر فتح فسا ودارابجرد,5.8.3.0
11,, ذكر فتح كرمان,5.8.4.0
11,, ذكر فتح سجستان,5.8.5.0
11,, فتح مكران,5.8.6.0
11,, خبر بيروذ من الأهواز,5.8.7.0
11,, ذكر خبر سلمة بن قيس الأشجعي والأكراد,5.8.8.0
11,, ذكر الخبر عن وفاه عمر,5.8.9.0
11,, ذكر نسب عمر رضي الله عنه,5.8.10.0
11,, تسميته بالفاروق,5.8.11.0
11,, ذكر صفته ms1681,5.8.12.0
11,, ذكر مولده ومبلغ عمره,5.8.13.0
11,, ذكر أسماء ولده ونسائه,5.8.14.0
11,, ذكر وقت إسلامه,5.8.15.0
11,, ذكر بعض سيره,5.8.16.0
11,, تسمية عمر رضي الله عنه أمير المؤمنين,5.8.17.0
11,, وضعه التأريخ,5.8.18.0
11,, حمله الدرة وتدوينه الدواوين,5.8.19.0
11,, ذكر بعض خطبه رضي الله تعالى عنه,5.8.20.0
11,, من ندب عمر ورثاه رضي الله عنه ذكر بعض ما رثي به,5.8.21.0
11,, شيء من سيره مما لم يمض ذكره,5.8.22.0
11,, قصة الشورى,5.8.23.0
11,, عمال عمر رضي الله عنه على الأمصار,5.8.24.0
11,, ثم دخلت,5.9.0.0
11,, ذكر ما كان فيها من الأحداث المشهورة,5.9.1.0
11,, خطبة عثمان رضي الله عنه وقتل عبيد الله بن عمر الهرمزان,5.9.2.0
11,, ولاية سعد بن أبي وقاص الكوفة,5.9.3.0
11,, كتب عثمان رضي الله عنه إلى عماله وولاته والعامة,5.9.4.0
11,, غزوه اذربيجان وأرمينية,5.9.5.0
11,, إجلاب الروم على المسلمين واستمداد المسلمين من بالكوفة,5.9.6.0
11,, خمس وعشرين,5.10.0.0
12,سنة 26 - سنة 50 من الهجرة, ذكر الأحداث المشهورة التي كانت فيها,5.10.1.0
12,, ثم دخلت سنة ست وعشرين,5.11.0.0
12,, ذكر ما كان فيها من الأحداث المشهورة,5.11.1.0
12,, ذكر سبب عزل عثمان عن الكوفة سعدا واستعماله عليها الوليد,5.11.2.0
12,, سبع وعشرين,5.12.0.0
12,, ذكر الأحداث المشهورة التي كانت فيها,5.12.1.0
12,, ثمان وعشرين,5.13.0.0
12,, ذكر الخبر عما كان فيها من الأحداث المشهورة,5.13.1.0
12,, ذكر الخبر عن غزوة معاوية إياها:,5.13.2.0
12,, سنة تسع وعشرين,5.14.0.0
12,, ذكر ما كان فيها من الأحداث المشهورة,5.14.1.0
12,, ذكر الخبر عن سبب عزل عثمان أبا موسى عن البصرة,5.14.2.0
12,, [أخبار متفرقة],5.14.3.0
12,, سنة ثلاثين,5.15.0.0
12,, ذكر ما كان فيها من الأحداث المشهورة,5.15.1.0
12,, ذكر الخبر عنه عن غزو سعيد بن العاص طبرستان,5.15.2.0
12,, ذكر السبب في عزل عثمان الوليد عن الكوفة وتوليته سعيدا عليها,5.15.3.0
12,, ذكر الخبر عن سبب سقوط الخاتم ms1754 من يد عثمان في بئر أريس,5.15.4.0
12,, أخبار أبي ذر رحمه الله تعالى,5.15.5.0
12,, ذكر هرب يزدجرد الى خراسان,5.15.6.0
12,, إحدى وثلاثين,5.16.0.0
12,, (ذكر ما كان فيها من الأحداث المشهورة ms1759),5.16.1.0
12,, غزوة الصواري,5.16.2.0
12,, ذكر الخبر عن مقتل يزدجرد ملك فارس,5.16.3.0
12,, شخوص عبد الله بن عامر الى خراسان وما قام به من فتوح,5.16.4.0
12,, ثم دخلت سنة اثنتين وثلاثين,5.17.0.0
12,, (ذكر ما كان فيها من الأحداث المذكورة),5.17.1.0
12,, ذكر ms1776 الخبر عن وفاه ابى ذر,5.17.2.0
12,, فتح مرو روذ والطالقان والفارياب والجوزجان وطخارستان,5.17.3.0
12,, ذكر صلح الأحنف مع اهل بلخ,5.17.4.0
12,, سنة ثلاث وثلاثين,5.18.0.0
12,, ذكر تسيير من سير من أهل الكوفة إليها,5.18.1.0
12,, ذكر الخبر عن تسيير عثمان من سير من أهل البصرة إلى الشام,5.18.2.0
12,, ثم دخلت,5.19.0.0
12,, (ذكر ما كان فيها من الأحداث المذكورة),5.19.1.0
12,, ذكر خبر اجتماع المنحرفين على عثمان,5.19.2.0
12,, سنة خمس وثلاثين,5.20.0.0
12,, (ذكر ما كان فيها من الأحداث),5.20.1.0
12,, ذكر مسير من سار إلى ms1803 ذي خشب من أهل مصر وسبب مسير من سار إلى ذي المروة من أهل العراق,5.20.2.0
12,," رجع الحديث إلى حديث سيف، عن شيوخه:",5.20.3.0
12,, ذكر الخبر عن قتل عثمان رضى الله عنه,5.20.4.0
12,, ذكر بعض سير عثمان بن عفان رضي الله عنه,5.20.5.0
12,, ذكر الخبر عن السبب الذي من أجله أمر عثمان رضى الله عنه عبد الله ابن عباس رضي الله عنه أن يحج بالناس في هذه السنة,5.20.6.0
12,, ذكر الخبر عن الموضع الذي دفن فيه عثمان رضي الله عنه ومن صلى عليه وولي أمره بعد ما قتل إلى أن فرغ من أمره ودفنه,5.20.7.0
12,, ذكر الخبر عن الوقت الذي قتل فيه عثمان رضي الله عنه,5.20.8.0
12,, ذكر الخبر عن قدر مدة حياته,5.20.9.0
12,, ذكر الخبر عن صفة عثمان,5.20.10.0
12,, ذكر الخبر عن وقت إسلامه وهجرته,5.20.11.0
12,, ذكر الخبر عما كان يكنى به عثمان بن عفان رضي الله عنه,5.20.12.0
12,, ذكر نسبه,5.20.13.0
12,, ذكر أولاده وأزواجه,5.20.14.0
12,, ذكر أسماء عمال عثمان رضي الله عنه في هذه السنة على البلدان,5.20.15.0
12,, ذكر بعض خطب عثمان رضي الله عنه,5.20.16.0
12,, ذكر الخبر عمن كان يصلى بالناس في مسجد رسول الله ص حين حصر عثمان,5.20.17.0
12,, ذكر ما رثي به من الأشعار,5.20.18.0
12,, خلافة أمير المؤمنين علي بن أبي طالب,5.20.19.0
12,," ذكر الخبر عن بيعة من بايعه، والوقت الذي بويع فيه",5.20.20.0
12,, اتساق الأمر في البيعة لعلي بن أبي طالب ع,5.20.21.0
12,, مسير قسطنطين ملك الروم يريد المسلمين,5.20.22.0
12,, ثم دخلت,5.21.0.0
12,, تفريق علي عماله على الأمصار,5.21.1.0
12,, استئذان طلحة والزبير عليا,5.21.2.0
12,, خروج علي إلى الربذة يريد البصرة,5.21.3.0
12,," شراء الجمل لعائشة رضي الله عنها، وخبر كلاب الحوأب",5.21.4.0
12,, قول عائشة رضي الله عنها: والله لأطلبن بدم عثمان وخروجها وطلحة والزبير فيمن تبعهم إلى البصرة,5.21.5.0
12,, دخولهم البصره والحرب بينهم وبين عثمان بن حنيف,5.21.6.0
12,, ذكر الخبر عن مسير علي بن أبي طالب نحو البصرة,5.21.7.0
12,, نزول أمير المؤمنين ذا قار,5.21.8.0
12,, بعثة علي بن أبي طالب من ذي قار ابنه الحسن وعمار بن ياسر ليستنفرا له أهل الكوفة,5.21.9.0
12,, نزول علي الزاوية من البصرة,5.21.10.0
12,, أمر القتال,5.21.11.0
12,, خبر وقعة الجمل من رواية أخرى,5.21.12.0
12,, شدة القتال يوم الجمل وخبر أعين بن ضبيعة واطلاعه في الهودج,5.21.13.0
12,, مقتل الزبير بن العوام رضي الله عنه,5.21.14.0
12,, من انهزم يوم الجمل فاختفى ومضى في البلاد,5.21.15.0
12,, توجع علي على قتلى الجمل ودفنهم وجمعه ما كان في العسكر والبعث به إلى البصرة,5.21.16.0
12,, عدد قتلى الجمل,5.21.17.0
12,, دخول علي على عائشة وما أمر به من العقوبة فيمن تناولها,5.21.18.0
12,, بيعة أهل البصرة عليا وقسمه ما في بيت المال عليهم,5.21.19.0
12,, سيرة علي فيمن قاتل يوم الجمل,5.21.20.0
12,, بعثة الأشتر إلى عائشة بجمل اشتراه لها وخروجها من البصرة إلى مكة,5.21.21.0
12,, ما كتب به علي بن أبي طالب من الفتح إلى عامله بالكوفة,5.21.22.0
12,, أخذ علي البيعة على الناس وخبر زياد بن أبي سفيان وعبد الرحمن بن أبي بكرة,5.21.23.0
12,, تأمير ابن عباس على البصرة وتولية زياد الخراج,5.21.24.0
12,, تجهيز على ع عائشة رضي الله عنها من البصرة,5.21.25.0
12,, ما روي من كثرة القتلى يوم الجمل,5.21.26.0
12,, ما قال عمار بن ياسر لعائشة حين فرغ من الجمل,5.21.27.0
12,, آخر حديث الجمل بعثة علي بن أبي طالب قيس بن سعد بن عبادة أميرا على مصر,5.21.28.0
12,, ولاية محمد بن أبي بكر مصر,5.21.29.0
12,, توجيه علي خليد بن طريف إلى خراسان,5.21.30.0
12,, ذكر خبر عمرو بن العاص ومبايعته معاوية,5.21.31.0
12,, توجيه علي بن أبي طالب جرير بن عبد الله البجلي إلى معاوية يدعوه إلى الدخول في طاعته,5.21.32.0
12,, خروج علي بن أبي طالب إلى صفين,5.21.33.0
12,, ما أمر به علي ms2006 بن أبي طالب من عمل الجسر على الفرات,5.21.34.0
12,, القتال على الماء,5.21.35.0
12,, دعاء علي معاوية إلى الطاعة والجماعة,5.21.36.0
12,, [أخبار متفرقة],5.21.37.0
12,, الجزء الخامس,6.0.0.0
12,, ثم وثلاثين,6.1.0.0
12,, ذكر ما كان فيها من الأحداث وموادعة الحرب بين علي ومعاوية,6.1.1.0
12,, تكتيب الكتائب وتعبئة الناس للقتال,6.1.2.0
12,, الجد في الحرب والقتال,6.1.3.0
12,, مقتل عمار بن ياسر,6.1.4.0
12,, خبر هاشم بن عتبة المرقال وذكر ليلة الهرير,6.1.5.0
12,, ما روي من رفعهم المصاحف ودعائهم إلى الحكومة,6.1.6.0
12,, بعثة علي جعدة بن هبيرة إلى خراسان,6.1.7.0
12,, اعتزال الخوارج عليا وأصحابه ورجوعهم بعد ذلك,6.1.8.0
12,, اجتماع الحكمين بدومة الجندل,6.1.9.0
12,, ذكر ما كان من خبر الخوارج عند توجيه علي الحكم للحكومة وخبر يوم النهر,6.1.10.0
12,, ثم دخلت سنة ثمان وثلاثين,6.2.0.0
12,, ذكر ما كان فيها من الأحداث,6.2.1.0
12,, ذكر الخبر عن أمر ابن الحضرمي وزياد وأعين وسبب قتل من قتل منهم,6.2.2.0
12,, الخريت بن راشد واظهاره الخلاف على على,6.2.3.0
12,, سنة تسع وثلاثين,6.3.0.0
12,, ذكر ما كان فيها من الأحداث,6.3.1.0
12,, تفريق معاوية جيوشه في أطراف علي,6.3.2.0
12,, ذكر توجيه ابن عباس زيادا الى فارس وكرمان.,6.3.3.0
12,, سنة أربعين,6.4.0.0
12,, ذكر ما كان فيها من الأحداث,6.4.1.0
12,, خروج ابن عباس من البصره الى مكة,6.4.2.0
12,, ذكر الخبر عن مقتل علي بن أبي طالب,6.4.3.0
12,, ذكر الخبر عن قدر مدة خلافته,6.4.4.0
12,, ذكر الخبر عن صفته,6.4.5.0
12,, ذكر نسبه ع,6.4.6.0
12,, ذكر الخبر عن أزواجه وأولاده,6.4.7.0
12,, ذكر ولاته,6.4.8.0
12,, ذكر بعض سيره ع,6.4.9.0
12,, ذكر بيعة الحسن بن علي,6.4.10.0
12,, ثم سنة إحدى وأربعين,6.5.0.0
12,, (ذكر الخبر عما كان فيها من الأحداث),6.5.1.0
12,, ذكر خبر الصلح بين معاويه وقيس بن سعد,6.5.2.0
12,, دخول الحسن والحسين المدينة منصرفين من الكوفه,6.5.3.0
12,, ذكر خروج الخوارج على معاويه,6.5.4.0
12,, ذكر ولايه بسر بن ابى ارطاه على البصره,6.5.5.0
12,, ولايه عبد الله بن عامر البصرة وحرب سجستان وخراسان,6.5.6.0
12,, ذكر الخبر عن سبب ولاية ذلك وبعض الكائن في أيام عمله لمعاوية بها:,6.5.7.0
12,, ثم دخلت سنة اثنتين وأربعين,6.6.0.0
12,, (ذكر ما كان فيها من الأحداث),6.6.1.0
12,, ذكر الخبر عن تحرك الخوارج,6.6.2.0
12,, ذكر الخبر عما كان منهم في هذه السنة:,6.6.3.0
12,, ذكر قدوم زياد على معاويه,6.6.4.0
12,, ثم دخلت سنة ثلاث وأربعين,6.7.0.0
12,, (ذكر الخبر عما كان فيها من الأحداث),6.7.1.0
12,, خبر قتل المستورد بن علفه الخارجي,6.7.2.0
12,, ذكر ولايه عبد الله بن خازم خراسان,6.7.3.0
12,, ثم دخلت سنة أربع وأربعين,6.8.0.0
12,, (ذكر الخبر عما كان فيها من الأحداث),6.8.1.0
12,, عزل عبد الله بن عامر عن البصره,6.8.2.0
12,, استلحاق معاويه نسب زياد ابن سميه بابيه,6.8.3.0
12,, ثم دخلت سنة خمس وأربعين,6.9.0.0
12,, (ذكر الأحداث المذكورة التي كانت فيها),6.9.1.0
12,, ذكر الخبر عن ولاية زياد البصرة,6.9.2.0
12,, ثم دخلت سنة ست وأربعين,6.10.0.0
12,, (ذكر ما كان فيها من الأحداث),6.10.1.0
12,, خبر انصراف عبد الرحمن بن خالد الى حمص وهلاكه,6.10.2.0
12,, ذكر خروج سهم والخطيم,6.10.3.0
12,, ثم دخلت سنة سبع وأربعين,6.11.0.0
12,, (ذكر الأحداث التي كانت فيها),6.11.1.0
12,, ذكر عزل عبد الله بن عمرو عن مصر وولايه ابن حديج,6.11.2.0
12,, ذكر غزو الغور,6.11.3.0
12,, ثم دخلت سنة ثمان وأربعين,6.12.0.0
12,, (ذكر الأحداث التي كانت فيها),6.12.1.0
12,, ثم دخلت سنة تسع وأربعين,6.13.0.0
12,, (ذكر ما كان فيها من الأحداث),6.13.1.0
12,, ثم دخلت سنة خمسين,6.14.0.0
12,, (ذكر ما كان فيها من الأحداث),6.14.1.0
12,, ذكر وفاه المغيره بن شعبه وولايه زياد الكوفه,6.14.2.0
12,, خروج قريب وزحاف,6.14.3.0
12,, ذكر اراده معاويه نقل المنبر من المدينة,6.14.4.0
12,, ذكر هرب الفرزدق من زياد,6.14.5.0
13,سنة 51 - سنة 75 من الهجرة, ذكر الخبر عن غزوة الحكم بن عمرو جبل الأشل وسبب هلاكه,6.14.6.0
13,, ثم دخلت سنة إحدى وخمسين,6.15.0.0
13,, (ذكر ما كان فيها من الأحداث),6.15.1.0
13,, ذكر مقتل حجر بن عدي وأصحابه,6.15.2.0
13,, تسمية الذين بعث بهم إلى معاوية,6.15.3.0
13,, تسمية من قتل من أصحاب حجر رحمه الله,6.15.4.0
13,, تسمية من نجا منهم,6.15.5.0
13,, ذكر استعمال الربيع بن زياد على خراسان,6.15.6.0
13,, ثم دخلت سنة اثنتين وخمسين,6.16.0.0
13,, ثم دخلت سنة ثلاث وخمسين,6.17.0.0
13,, (ذكر ما كان فيها من الأحداث),6.17.1.0
13,, ذكر سبب مهلك زياد بن سمية,6.17.2.0
13,, ذكر الخبر عن وفاه الربيع بن زياد الحارثى,6.17.3.0
13,, ثم دخلت سنة أربع وخمسين,6.18.0.0
13,, (ذكر الخبر عما كان فيها من الأحداث),6.18.1.0
13,, ذكر عزل سعيد بن العاص عن المدينة واستعمال مروان,6.18.2.0
13,, ذكر توليه معاويه عبيد الله بن زياد على خراسان,6.18.3.0
13,, ثم دخلت سنة خمس وخمسين,6.19.0.0
13,, (ذكر الخبر عن الكائن فيها من الأحداث),6.19.1.0
13,, ذكر الخبر عن سبب عزل معاوية عبد الله بن عمرو بن غيلان وتوليته عبيد الله البصرة,6.19.2.0
13,, ثم دخلت سنة ست وخمسين,6.20.0.0
13,, (ذكر ما كان فيها من الأحداث),6.20.1.0
13,, ذكر خبر البيعه ليزيد بولاية العهد,6.20.2.0
13,, ذكر عزل ابن زياد عن خراسان واستعمال سعيد بن عثمان,6.20.3.0
13,, ثم دخلت سنة سبع وخمسين,6.21.0.0
13,, ثم دخلت سنة ثمان وخمسين,6.22.0.0
13,, (ذكر الخبر عما كان فيها من الأحداث),6.22.1.0
13,, عزل الضحاك عن الكوفه واستعمال عبد الرحمن بن أم الحكم,6.22.2.0
13,, ذكر قتل عروه بن اديه وغيره من الخوارج,6.22.3.0
13,, ثم دخلت سنة تسع وخمسين,6.23.0.0
13,, (ذكر ما كان فيها من الأحداث),6.23.1.0
13,, ذكر ولايه عبد الرحمن بن زياد خراسان,6.23.2.0
13,, ذكر وفود عبيد الله بن زياد على معاويه,6.23.3.0
13,, ذكر هجاء يزيد بن مفرغ الحميرى بنى زياد,6.23.4.0
13,, ثم دخلت سنة ستين,6.24.0.0
13,, (ذكر ما كان فيها من الأحداث),6.24.1.0
13,, ذكر عهد معاويه لابنه يزيد,6.24.2.0
13,, ذكر وفاه معاوية بن أبي سفيان,6.24.3.0
13,, ذكر الخبر عن مدة ملكه,6.24.4.0
13,, ذكر مده عمره,6.24.5.0
13,, ذكر العلة التي كانت فيها وفاته,6.24.6.0
13,, ذكر الخبر عمن صلى على معاوية حين مات,6.24.7.0
13,, ذكر الخبر عن نسبه وكنيته,6.24.8.0
13,, ذكر نسائه وولده,6.24.9.0
13,, ذكر بعض ما حضرنا من ذكر أخباره وسيره,6.24.10.0
13,, خلافة يزيد بن معاوية,6.24.11.0
13,, ذكر عزل الوليد عن المدينة وولايه عمر بن سعيد,6.24.12.0
13,, ذكر الخبر عن مراسله الكوفيين الحسين ع للمصير إلى ما قبلهم وأمر مسلم بن عقيل رضي الله عنه,6.24.13.0
13,, ذكر مسير الحسين الى الكوفه,6.24.14.0
13,, ثم دخلت سنة إحدى وستين,6.25.0.0
13,, (ذكر الخبر عما كان فيها من الأحداث),6.25.1.0
13,, ذكر أسماء من قتل من بني هاشم مع الحسين ع وعدد من قتل من كل قبيلة من القبائل التي قاتلته,6.25.2.0
13,, ذكر خبر مقتل مرداس بن عمرو بن حدير,6.25.3.0
13,, ذكر خبر ولايه سلم بن زياد على خراسان وسجستان,6.25.4.0
13,, ذكر سبب عزل يزيد عمرو بن سعيد عن المدينة وتوليته عليها الوليد بن عتبة,6.25.5.0
13,, ثم دخلت سنة اثنتين وستين,6.26.0.0
13,, (ذكر الخبر عما كان في هذه السنة من الأحداث),6.26.1.0
13,, ثم دخلت سنة ثلاث وستين,6.27.0.0
13,, (ذكر الخبر عن الأحداث التي كانت فيها),6.27.1.0
13,, ثم دخلت سنة أربع وستين,6.28.0.0
13,, (ذكر الخبر عما كان فيها من الأحداث),6.28.1.0
13,, ذكر موت مسلم بن عقبة ورمي الكعبة وإحراقها,6.28.2.0
13,, ذكر الخبر عن حرق الكعبه,6.28.3.0
13,, ذكر خبر وفاه يزيد بن معاويه,6.28.4.0
13,, ذكر عدد ولده,6.28.5.0
13,, خلافة معاوية بن يزيد,6.28.6.0
13,, ذكر الخبر عما كان من أمر عبيد الله بن زياد وأمر أهل البصرة معه بها بعد موت يزيد,6.28.7.0
13,, ذكر الخبر عن عزلهم عمرو بن حريث وتأميرهم عامرا,6.28.8.0
13,, ذكر الخبر عن ولايه عامر بن مسعود على الكوفه,6.28.9.0
13,, خلافه مروان بن الحكم,6.28.10.0
13,, ذكر الخبر عن فتنه عبد الله بن خازم وبيعه سلم بن زياد,6.28.11.0
13,, ذكر الخبر عن تحرك الشيعة للطلب بدم الحسين,6.28.12.0
13,, ذكر الخبر عن فراق الخوارج عبد الله بن الزبير,6.28.13.0
13,, ذكر الخبر عن مقدم المختار بن ابى عبيد الكوفه,6.28.14.0
13,, ذكر الخبر عن هدم ابن الزبير الكعبه,6.28.15.0
13,, سنة خمس وستين,6.29.0.0
13,, (ذكر الخبر عما كان فيها من الأحداث الجليلة),6.29.1.0
13,, ذكر الخبر عن بيعه عبد الملك وعبد العزيز ابنى مروان,6.29.2.0
13,, ذكر الخبر عن موت مروان بن الحكم,6.29.3.0
13,, ذكر خبر مقتل حبيش بن دلجه,6.29.4.0
13,, ذكر خبر حدوث الطاعون الجارف,6.29.5.0
13,, مقتل نافع بن الأزرق واشتداد امر الخوارج,6.29.6.0
